,0
0,die Ärzte
1,in flames
2,linkin park
3,böhse onkelz
4,system of a down
5,rammstein
6,metallica
7,die toten hosen
8,red hot chili peppers
9,rise against
10,beatsteaks
11,coldplay
12,the beatles
13,subway to sally
14,nightwish
15,radiohead
16,muse
17,k.i.z.
18,nine inch nails
19,placebo
20,jack johnson
21,bushido
22,schandmaul
23,mando diao
24,billy talent
25,the kooks
26,in extremo
27,bloc party
28,foo fighters
29,arctic monkeys
30,johnny cash
31,koЯn
32,tocotronic
33,depeche mode
34,disturbed
35,blink-182
36,the killers
37,clueso
38,samsas traum
39,farin urlaub
40,amon amarth
41,incubus
42,slipknot
43,iron maiden
44,die apokalyptischen reiter
45,eisregen
46,the offspring
47,queens of the stone age
48,evanescence
49,asp
50,tool
51,blind guardian
52,pink floyd
53,kettcar
54,children of bodom
55,heaven shall burn
56,nirvana
57,as i lay dying
58,ac/dc
59,green day
60,ensiferum
61,fall out boy
62,deichkind
63,the white stripes
64,death cab for cutie
65,tomte
66,bullet for my valentine
67,sum 41
68,dropkick murphys
69,kings of leon
70,sonata arctica
71,marilyn manson
72,blumentopf
73,3 doors down
74,air
75,slayer
76,prinz pi
77,maxïmo park
78,my chemical romance
79,seeed
80,papa roach
81,the prodigy
82,kool savas
83,the cure
84,jimmy eat world
85,oasis
86,amy winehouse
87,opeth
88,daft punk
89,bob dylan
90,queen
91,bad religion
92,killswitch engage
93,kanye west
94,sido
95,millencolin
96,porcupine tree
97,apocalyptica
98,caliban
99,franz ferdinand
100,madonna
101,equilibrium
102,sigur rós
103,nofx
104,kollegah
105,limp bizkit
106,madsen
107,hatebreed
108,u2
109,arch enemy
110,the hives
111,peter fox
112,moby
113,the rolling stones
114,sportfreunde stiller
115,j.b.o.
116,die fantastischen vier
117,finntroll
118,dark tranquillity
119,atreyu
120,interpol
121,korpiklaani
122,fettes brot
123,tenacious d
124,him
125,eminem
126,the doors
127,motörhead
128,the smashing pumpkins
129,breaking benjamin
130,portishead
131,dream theater
132,bob marley
133,avril lavigne
134,rage against the machine
135,dredg
136,afi
137,bright eyes
138,30 seconds to mars
139,björk
140,soilwork
141,feist
142,the strokes
143,massive attack
144,tom waits
145,silverstein
146,a perfect circle
147,snow patrol
148,volbeat
149,led zeppelin
150,letzte instanz
151,parkway drive
152,samy deluxe
153,flogging molly
154,deftones
155,rihanna
156,manu chao
157,bruce springsteen
158,bring me the horizon
159,manowar
160,dimmu borgir
161,cannibal corpse
162,lostprophets
163,paramore
164,alexisonfire
165,tegan and sara
166,dir en grey
167,cradle of filth
168,the shins
169,the smiths
170,36 crazyfists
171,gentleman
172,ill niño
173,hammerfall
174,gorillaz
175,nelly furtado
176,beastie boys
177,[unknown]
178,neaera
179,babyshambles
180,broilers
181,r.e.m.
182,katatonia
183,pearl jam
184,iced earth
185,hans zimmer
186,anti-flag
187,nickelback
188,ramones
189,blutengel
190,funny van dannen
191,good charlotte
192,kaiser chiefs
193,saltatio mortis
194,unheilig
195,trivium
196,oomph!
197,david bowie
198,machine head
199,elliott smith
200,ska-p
201,britney spears
202,the libertines
203,tori amos
204,enter shikari
205,michael jackson
206,the used
207,the subways
208,a day to remember
209,three days grace
210,mad caddies
211,kataklysm
212,patrice
213,behemoth
214,knorkator
215,norah jones
216,eels
217,simple plan
218,modest mouse
219,robbie williams
220,sonic syndicate
221,all that remains
222,from autumn to ashes
223,panic at the disco
224,stone sour
225,boysetsfire
226,curse
227,muff potter
228,culcha candela
229,excrementory grindfuckers
230,john frusciante
231,mogwai
232,element of crime
233,röyksopp
234,devildriver
235,yann tiersen
236,eluveitie
237,elvis presley
238,the wohlstandskinder
239,beck
240,damien rice
241,justice
242,static-x
243,wise guys
244,belle and sebastian
245,all shall perish
246,boards of canada
247,jan delay
248,kate nash
249,rosenstolz
250,editors
251,morrissey
252,herbert grönemeyer
253,adam green
254,pantera
255,sufjan stevens
256,misfits
257,funeral for a friend
258,joy division
259,howard shore
260,james blunt
261,nada surf
262,comeback kid
263,judas priest
264,megadeth
265,emilie autumn
266,thievery corporation
267,timbaland
268,the notwist
269,aphex twin
270,jimi hendrix
271,underoath
272,the clash
273,thrice
274,the black dahlia murder
275,digitalism
276,wizo
277,black sabbath
278,seether
279,silbermond
280,arcade fire
281,edguy
282,dynamite deluxe
283,cat power
284,kings of convenience
285,the chemical brothers
286,morcheeba
287,jamiroquai
288,helge schneider
289,pennywise
290,fear factory
291,amy macdonald
292,katie melua
293,cypress hill
294,sentenced
295,audioslave
296,soulfly
297,bloodhound gang
298,sepultura
299,the fratellis
300,justin timberlake
301,kreator
302,wir sind helden
303,casper
304,beirut
305,the knife
306,olli schulz & der hund marie
307,dendemann
308,blackmail
309,pendulum
310,dornenreich
311,kyuss
312,juli
313,kamelot
314,mgmt
315,walls of jericho
316,lamb of god
317,bob marley & the wailers
318,frei.wild
319,less than jake
320,...and you will know us by the trail of dead
321,anathema
322,alesana
323,the streets
324,chakuza
325,cascada
326,scooter
327,pink
328,guano apes
329,mindless self indulgence
330,vnv nation
331,rancid
332,eisbrecher
333,ignite
334,lacuna coil
335,keane
336,the national
337,azad
338,six feet under
339,sabaton
340,norther
341,sonic youth
342,evergreen terrace
343,staind
344,the fray
345,dead can dance
346,reel big fish
347,nas
348,serj tankian
349,paradise lost
350,genesis
351,taking back sunday
352,story of the year
353,frank sinatra
354,enya
355,ohrbooten
356,50 cent
357,eric clapton
358,donots
359,chimaira
360,paul kalkbrenner
361,jason mraz
362,the mars volta
363,freundeskreis
364,alkaline trio
365,hypocrisy
366,the who
367,olli banjo
368,within temptation
369,favorite
370,soil
371,jay-z
372,isis
373,bon jovi
374,megaherz
375,the wombats
376,schiller
377,razorlight
378,amorphis
379,travis
380,2pac
381,vader
382,dire straits
383,sodom
384,der w
385,lady gaga
386,flyleaf
387,deep purple
388,avenged sevenfold
389,hot chip
390,and one
391,clickclickdecker
392,absurd
393,kelly clarkson
394,josé gonzález
395,john williams
396,2raumwohnung
397,shout out louds
398,fler
399,patrick wolf
400,pixies
401,frank zappa
402,4lyn
403,jennifer rostock
404,sick of it all
405,atb
406,escapado
407,the whitest boy alive
408,slut
409,death
410,einstürzende neubauten
411,soundtrack
412,jan hegenberg
413,helloween
414,guns n roses
415,deine lakaien
416,suicide silence
417,alicia keys
418,black eyed peas
419,marduk
420,the dresden dolls
421,ムック
422,johann sebastian bach
423,crystal castles
424,pj harvey
425,nile
426,the all-american rejects
427,absolute beginner
428,regina spektor
429,bass sultan hengzt
430,endstille
431,sublime
432,the decemberists
433,turbonegro
434,dope
435,black rebel motorcycle club
436,huss und hodn
437,coheed and cambria
438,goldfrapp
439,nouvelle vague
440,immortal
441,calexico
442,dashboard confessional
443,tanzwut
444,joint venture
445,therion
446,me first and the gimme gimmes
447,mono & nikitaman
448,callejón
449,loikaemie
450,have heart
451,neil young
452,bonobo
453,creedence clearwater revival
454,combichrist
455,pain
456,jedi mind tricks
457,the sounds
458,lagwagon
459,abba
460,mia.
461,alanis morissette
462,david guetta
463,blur
464,escape the fate
465,at the drive-in
466,haste the day
467,ayreon
468,planlos
469,stars
470,avantasia
471,simon & garfunkel
472,eagles of death metal
473,converge
474,bolt thrower
475,christina aguilera
476,godsmack
477,diary of dreams
478,bathory
479,agonoize
480,terror
481,annett louisan
482,rage
483,social distortion
484,turbostaat
485,akira yamaoka
486,pet shop boys
487,terrorgruppe
488,the cranberries
489,dritte wahl
490,eins zwo
491,infected mushroom
492,gamma ray
493,the gaslight anthem
494,darkthrone
495,ladytron
496,katy perry
497,polarkreis 18
498,satyricon
499,fatboy slim
500,hoobastank
501,maria mena
502,t.i.
503,johnossi
504,anberlin
505,植松伸夫
506,ryan adams
507,ektomorf
508,l'Âme immortelle
509,lily allen
510,itchy poopzkid
511,the roots
512,de-phazz
513,trentemøller
514,bloodbath
515,danko jones
516,the kills
517,anna ternheim
518,the 69 eyes
519,the postal service
520,kalmah
521,apoptygma berzerk
522,angerfist
523,snoop dogg
524,narziss
525,rantanplan
526,revolverheld
527,the bosshoss
528,egotronic
529,sondaschule
530,august burns red
531,p.o.d.
532,rhapsody of fire
533,scar symmetry
534,fotos
535,belphegor
536,nick cave and the bad seeds
537,lacrimosa
538,john mayer
539,nasum
540,ulver
541,poets of the fall
542,dido
543,grave digger
544,mudvayne
545,booka shade
546,betontod
547,miles davis
548,aerosmith
549,cocorosie
550,adema
551,japanische kampfhörspiele
552,the game
553,burial
554,fort minor
555,debauchery
556,thursday
557,god is an astronaut
558,billy joel
559,against me!
560,the rasmus
561,emil bulls
562,okkervil river
563,die happy
564,unearth
565,fiddler's green
566,the cardigans
567,cat stevens
568,summoning
569,beyoncé
570,65daysofstatic
571,eric fish
572,die sterne
573,...but alive
574,epica
575,faun
576,maroon 5
577,die kassierer
578,drowning pool
579,biffy clyro
580,gisbert zu knyphausen
581,richard cheese
582,peterlicht
583,alter bridge
584,rob zombie
585,lil wayne
586,end of green
587,counting crows
588,turisas
589,shinedown
590,i killed the prom queen
591,phil collins
592,darkest hour
593,the devil wears prada
594,sugarplum fairy
595,groove coverage
596,jethro tull
597,napalm death
598,trapt
599,e nomine
600,portugal. the man
601,tiger lou
602,explosions in the sky
603,hot water music
604,dragonforce
605,city and colour
606,lifehouse
607,foals
608,guns n' roses
609,type o negative
610,agalloch
611,maroon
612,lÂme immortelle
613,loreena mckennitt
614,sunrise avenue
615,kategorie c
616,phoenix
617,legion of the damned
618,rjd2
619,anajo
620,the hellacopters
621,saosin
622,creed
623,lordi
624,mika
625,zebrahead
626,amon tobin
627,leonard cohen
628,nick drake
629,faithless
630,welle:erdball
631,illdisposed
632,the kinks
633,blackmore's night
634,mike oldfield
635,stratovarius
636,kiss
637,sting
638,klee
639,project pitchfork
640,burzum
641,outkast
642,ratatat
643,cake
644,machinae supremacy
